Y,X,Z1,Z2,Z3,Z4,Z5
0.999864459,1,0.163401251,-2.203593921,3.102898614,0.30701875,-1.352096806
0.897448382,1,-0.369066913,-1.151173908,1.712602865,-0.255548961,-2.242529729
0.939589525,0,-1.582371216,-0.598328129,1.330000884,-1.448933741,-0.287309242
0.996923085,0,-1.202857828,-2.438056047,-1.587523,-2.160154539,-0.776116203
0.586436569,1,-0.809400268,-1.494245643,1.112610494,-0.48445555,-2.991653809
0.596523437,1,-0.630033759,-1.217512973,1.520134374,-0.576079687,-4.290595625
0.999912707,1,0.866224501,0.720894513,3.10363315,-1.228380745,-1.999119544
0.94016839,1,-0.152456434,-1.292148589,1.56274173,0.062711601,-4.595321134
0.414133485,1,-1.122435386,-2.745076809,0.738267282,-0.57841164,-4.715294783
0.54613828,0,-1.338856993,-0.335511121,-0.007161195,0.420014562,-3.93872558
0.888959284,1,-0.806135845,-2.453850879,-1.484968749,0.827542763,-2.347368677
0.872171352,0,-0.812190316,0.507254053,1.388109821,-0.849372141,-3.73755253
0.936510627,0,-0.881897401,-2.844656606,0.849719914,-1.068169788,-0.198536304
0.999639856,1,-0.469887184,-1.502301311,2.680736242,-0.176933869,-2.906772234
0.977768954,1,-1.180110038,-1.598375028,-1.950843059,0.9447266,-1.247364379
0.985234717,0,-0.356005265,-0.639463363,-0.790643534,-1.820360259,0.094740865
0.897184439,0,-1.394650496,-1.616775755,-0.315514685,-1.035143769,-3.417471363
0.381016833,1,-0.765667142,-1.920544792,0.981152042,-0.928692845,-2.744969329
0.321676561,1,-0.392187077,-1.300724821,0.57626083,0.025607412,-1.857214256
0.95766515,1,-0.543685835,-0.417420927,-1.018473899,1.783140143,0.445876147
0.991017504,1,-0.12725661,-2.824526227,2.495688997,-0.708321975,-1.440023563
0.964215737,1,-0.661902597,-2.228299722,1.744106718,-0.675584326,-0.150587588
0.975741824,0,-0.313841315,-2.28501491,1.550724975,-1.792661419,-2.731670322
0.85649946,1,0.047532879,-2.955069192,0.500625068,-1.213733943,-1.78387909
0.85139209,1,-1.055360453,-0.955590471,1.225597443,0.370299641,-0.872337145
0.983365141,0,-1.423863368,-1.738508531,0.643868515,-0.954565948,-1.396261332
0.653319516,1,-0.597448739,-1.285221729,0.221963185,-0.728061693,-3.320611874
0.378753177,1,-0.772767648,-1.31956341,0.692157734,-0.61130273,-2.231339937
0.989441673,1,-0.963449374,-0.135027843,1.96134525,-0.356893276,-4.737530018
0.411280426,1,-0.895429338,0.204710239,-1.749128258,1.114857517,-1.612500986
0.473062665,1,-1.029610559,-1.450678018,0.284077233,0.788112711,-4.268629128
0.997750172,0,-0.175326391,-2.119517658,2.146942953,1.455227763,-1.442126168
0.91367274,0,0.088590486,-2.559061325,-0.185365943,-1.925076894,-0.720463021
0.41434487,1,-0.010574505,-5.381371265,1.396522811,-0.707273166,-0.470910583
0.545643732,1,-0.893072237,-1.871446886,0.384559544,0.610384575,-1.842796981
0.952863968,1,0.142218166,-2.819147535,1.943597399,-0.568248864,-4.123260968
0.781349587,1,-0.799856821,-0.920683633,1.128430016,-0.024042831,-3.008078052
0.56478057,1,0.464757017,-2.647013251,0.365430264,-0.870061716,-2.183814563
0.923121223,0,-0.278373072,-0.970805587,-0.006824547,-1.937751763,-0.226461934
