Y,X,Z1,Z2,Z3,Z4,Z5
0.999879125,0.923892817,0.163401251,-2.203593921,3.102898614,0.30701875,-1.352096806
0.907520049,0.923892817,-0.369066913,-1.151173908,1.712602865,-0.255548961,-2.242529729
0.886336402,0.458783141,-1.582371216,-0.598328129,1.330000884,-1.448933741,-0.287309242
0.993881608,0.458783141,-1.202857828,-2.438056047,-1.587523,-2.160154539,-0.776116203
0.613912421,0.923892817,-0.809400268,-1.494245643,1.112610494,-0.48445555,-2.991653809
0.707834057,0.671815784,-0.630033759,-1.217512973,1.520134374,-0.576079687,-4.290595625
0.999946728,0.671815784,0.866224501,0.720894513,3.10363315,-1.228380745,-1.999119544
0.946295563,0.923892817,-0.152456434,-1.292148589,1.56274173,0.062711601,-4.595321134
0.536679985,0.671815784,-1.122435386,-2.745076809,0.738267282,-0.57841164,-4.715294783
0.376284795,0.458783141,-1.338856993,-0.335511121,-0.007161195,0.420014562,-3.93872558
0.899771561,0.923892817,-0.806135845,-2.453850879,-1.484968749,0.827542763,-2.347368677
0.773795474,0.458783141,-0.812190316,0.507254053,1.388109821,-0.849372141,-3.73755253
0.880887461,0.458783141,-0.881897401,-2.844656606,0.849719914,-1.068169788,-0.198536304
0.999678818,0.923892817,-0.469887184,-1.502301311,2.680736242,-0.176933869,-2.906772234
0.986314943,0.671815784,-1.180110038,-1.598375028,-1.950843059,0.9447266,-1.247364379
0.970975869,0.458783141,-0.356005265,-0.639463363,-0.790643534,-1.820360259,0.094740865
0.813952127,0.458783141,-1.394650496,-1.616775755,-0.315514685,-1.035143769,-3.417471363
0.50216326,0.671815784,-0.765667142,-1.920544792,0.981152042,-0.928692845,-2.744969329
0.347160702,0.923892817,-0.392187077,-1.300724821,0.57626083,0.025607412,-1.857214256
0.962072815,0.923892817,-0.543685835,-0.417420927,-1.018473899,1.783140143,0.445876147
0.991981784,0.923892817,-0.12725661,-2.824526227,2.495688997,-0.708321975,-1.440023563
0.977853805,0.671815784,-0.661902597,-2.228299722,1.744106718,-0.675584326,-0.150587588
0.952755277,0.458783141,-0.313841315,-2.28501491,1.550724975,-1.792661419,-2.731670322
0.870010243,0.923892817,0.047532879,-2.955069192,0.500625068,-1.213733943,-1.78387909
